Software,cluster_id_v1,cluster_label_v1,is_noise_like_v1,clustering_method_v1,normalized_name_v2,cluster_id_v2,cluster_label_v2,cluster_size_v2,is_noise_like_v2,clustering_method_v2,cluster_confidence_v2,review_recommended_v2,normalized_name_v3,cluster_id_v3,cluster_label_v3,cluster_size_v3,is_noise_like_v3,clustering_method_v3,cluster_confidence_v3,review_recommended_v3
Intel® Integrated Sensor Solution,N0331,Intel Integrated Sensor Solution,true,singleton_noise_like,intel® integrated sensor solution,N0283,Intel® Integrated Sensor Solution,1,true,singleton_noise_like,0.00,true,intel® integrated sensor solution,N0236,Intel® Integrated Sensor Solution,1,true,singleton_noise_like,0.00,true
Intel® Optane™ Pinning Explorer Extensions,N0332,Intel Optanetm Pinning Explorer Extensions,true,singleton_noise_like,intel® optanetm pinning explorer extensions,N0284,Intel® Optane™ Pinning Explorer Extensions,1,true,singleton_noise_like,0.00,true,intel® optanetm pinning explorer extensions,N0237,Intel® Optane™ Pinning Explorer Extensions,1,true,singleton_noise_like,0.00,true
IObit Uninstaller,N0346,Iobit Uninstaller,true,singleton_noise_like,iobit uninstaller,N0285,IObit Uninstaller,1,true,singleton_noise_like,0.00,true,iobit uninstaller,N0238,IObit Uninstaller,1,true,singleton_noise_like,0.00,true
IP Office Admin Lite,N0347,Ip Office Admin Lite,true,singleton_noise_like,ip office admin lite,C0250,IP Office,2,false,family_pattern,0.85,true,ip office admin lite,C0250,IP Office,2,false,v2_preserved,0.85,true
IP Office Voicemail Pro,N0348,Ip Office Voicemail Pro,true,singleton_noise_like,ip office voicemail pro,C0250,IP Office,2,false,family_pattern,0.85,true,ip office voicemail pro,C0250,IP Office,2,false,v2_preserved,0.85,true
iReasoning MIB Browser (remove only),N0349,Ireasoning Mib Browser Remove Only,true,singleton_noise_like,ireasoning mib browser remove only,N0286,iReasoning MIB Browser (remove only),1,true,singleton_noise_like,0.00,true,ireasoning mib browser remove only,N0239,iReasoning MIB Browser (remove only),1,true,singleton_noise_like,0.00,true
iSignature 可信电子签章,N0350,isignature 可信电子签章,true,singleton_noise_like,isignature 可信电子签章,N0287,iSignature 可信电子签章,1,true,singleton_noise_like,0.00,true,isignature 可信电子签章,C0292,Chinese CA/UKey/Signature Middleware,24,false,human_review_cn_category,0.72,true
iSlide,N0351,Islide,true,singleton_noise_like,islide,N0288,iSlide,1,true,singleton_noise_like,0.00,true,islide,N0240,iSlide,1,true,singleton_noise_like,0.00,true
iSlide Tools,N0352,Islide Tools,true,singleton_noise_like,islide tools,N0289,iSlide Tools,1,true,singleton_noise_like,0.00,true,islide tools,N0241,iSlide Tools,1,true,singleton_noise_like,0.00,true
isompAPP,N0353,Isompapp,true,singleton_noise_like,isompapp,N0290,isompAPP,1,true,singleton_noise_like,0.00,true,isompapp,N0242,isompAPP,1,true,singleton_noise_like,0.00,true
IsompSSO version,N0354,Isompsso Version,true,singleton_noise_like,isompsso version,N0291,IsompSSO version,1,true,singleton_noise_like,0.00,true,isompsso version,N0243,IsompSSO version,1,true,singleton_noise_like,0.00,true
iTunes,N0355,Itunes,true,singleton_noise_like,itunes,N0292,iTunes,1,true,singleton_noise_like,0.00,true,itunes,N0244,iTunes,1,true,singleton_noise_like,0.00,true
iVMS-4200,N0356,Ivms,true,singleton_noise_like,ivms 4200,N0293,iVMS-4200,1,true,singleton_noise_like,0.00,true,ivms 4200,N0245,iVMS-4200,1,true,singleton_noise_like,0.00,true
IZArc,N0357,Izarc,true,singleton_noise_like,izarc,N0294,IZArc,1,true,singleton_noise_like,0.00,true,izarc,N0246,IZArc,1,true,singleton_noise_like,0.00,true
i信,N0358,i信,true,singleton_noise_like,i信,N0295,i信,1,true,singleton_noise_like,0.00,true,i信,N0247,i信,1,true,singleton_noise_like,0.00,true
J2SE Runtime Environment 5.0 Update 13,N0359,J2se Runtime Environment,true,singleton_noise_like,j2se runtime environment,N0296,J2SE Runtime Environment 5.0 Update 13,1,true,singleton_noise_like,0.00,true,j2se runtime environment,N0248,J2SE Runtime Environment 5.0 Update 13,1,true,singleton_noise_like,0.00,true
Java 7 Update 13 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 7 Update 80 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 102 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 151 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 152 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 191,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 201 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 202 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 211 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 212 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 231 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 251,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 251 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 281 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 311,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 311 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 321 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 331 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 333,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 333 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 341,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 341 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 351,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 351 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 361 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 371 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 381,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 391,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 391 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 401 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 411,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 411 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 421,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 421 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 431 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 441 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 451 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 8 Update 66,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java 9.0.1 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java SE Development Kit 7 Update 13 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 7 Update 25 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 7 Update 80 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 102 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 131 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 144 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 151 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 171 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 172 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 191 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 202 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 211 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 231 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 241 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 251 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 301 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 311 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 321 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 333 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 341 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 351 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 361 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 371 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 401 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 451 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 66,C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java SE Development Kit 8 Update 66 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) 6 Update 45,C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java(TM) 6 Update 45 (64-bit),C0003,Java,false,exact_normalized,java,C0003,Java,41,false,v1_exact_preserved,1.00,false,java,C0003,Java,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 11.0.17 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 11.0.18 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 16.0.2 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 17.0.11 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 17.0.12 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 17.0.15 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 17.0.2 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 17.0.8 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 17.0.9 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 19.0.1 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 21.0.1 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 21.0.5 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 23.0.1 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
Java(TM) SE Development Kit 6 Update 45 (64-bit),C0004,Java Se Development Kit,false,exact_normalized,java se development kit,C0004,Java Se Development Kit,41,false,v1_exact_preserved,1.00,false,java se development kit,C0004,Java Se Development Kit,41,false,v2_preserved,1.00,false
jcPrinterSdk,N0360,Jcprintersdk,true,singleton_noise_like,jcprintersdk,N0297,jcPrinterSdk,1,true,singleton_noise_like,0.00,true,jcprintersdk,N0249,jcPrinterSdk,1,true,singleton_noise_like,0.00,true
JDSU One Expert Handheld Manager,N0361,Jdsu One Expert Handheld Manager,true,singleton_noise_like,jdsu one expert handheld manager,N0298,JDSU One Expert Handheld Manager,1,true,singleton_noise_like,0.00,true,jdsu one expert handheld manager,N0250,JDSU One Expert Handheld Manager,1,true,singleton_noise_like,0.00,true
Jenkins 2.361.3,N0362,Jenkins,true,singleton_noise_like,jenkins,N0299,Jenkins 2.361.3,1,true,singleton_noise_like,0.00,true,jenkins,N0251,Jenkins 2.361.3,1,true,singleton_noise_like,0.00,true
JetBrains PyCharm 2019.2.6,N0363,Jetbrains Pycharm,true,singleton_noise_like,jetbrains pycharm,N0300,JetBrains PyCharm 2019.2.6,1,true,singleton_noise_like,0.00,true,jetbrains pycharm,N0252,JetBrains PyCharm 2019.2.6,1,true,singleton_noise_like,0.00,true
JetBrains PyCharm Community Edition 2018.3,C0124,Jetbrains Pycharm Community,false,exact_normalized,jetbrains pycharm community,C0124,Jetbrains Pycharm Community,2,false,v1_exact_preserved,1.00,false,jetbrains pycharm community,C0124,Jetbrains Pycharm Community,2,false,v2_preserved,1.00,false
JetBrains PyCharm Community Edition 2019.2.4,C0124,Jetbrains Pycharm Community,false,exact_normalized,jetbrains pycharm community,C0124,Jetbrains Pycharm Community,2,false,v1_exact_preserved,1.00,false,jetbrains pycharm community,C0124,Jetbrains Pycharm Community,2,false,v2_preserved,1.00,false
JetBrains ReSharper in Visual Studio Enterprise 2022,N0364,Jetbrains Resharper In Visual Studio Enterprise,true,singleton_noise_like,jetbrains resharper in visual studio enterprise 2022,N0301,JetBrains ReSharper in Visual Studio Enterprise 2022,1,true,singleton_noise_like,0.00,true,jetbrains resharper in visual studio enterprise 2022,C0199,Microsoft Visual Studio,21,false,human_review_cn_dev_family,0.86,true
JetBrains Toolbox,N0365,Jetbrains Toolbox,true,singleton_noise_like,jetbrains toolbox,N0302,JetBrains Toolbox,1,true,singleton_noise_like,0.00,true,jetbrains toolbox,N0253,JetBrains Toolbox,1,true,singleton_noise_like,0.00,true
JetBrains WebStorm 2019.2.4,N0366,Jetbrains Webstorm,true,singleton_noise_like,jetbrains webstorm,N0303,JetBrains WebStorm 2019.2.4,1,true,singleton_noise_like,0.00,true,jetbrains webstorm,N0254,JetBrains WebStorm 2019.2.4,1,true,singleton_noise_like,0.00,true
Joplin,N0367,Joplin,true,singleton_noise_like,joplin,N0304,Joplin,1,true,singleton_noise_like,0.00,true,joplin,N0255,Joplin,1,true,singleton_noise_like,0.00,true
JProfiler,N0368,Jprofiler,true,singleton_noise_like,jprofiler,N0305,JProfiler,1,true,singleton_noise_like,0.00,true,jprofiler,N0256,JProfiler,1,true,singleton_noise_like,0.00,true
JumpServer Video Player,N0369,Jumpserver Video Player,true,singleton_noise_like,jumpserver video player,N0306,JumpServer Video Player,1,true,singleton_noise_like,0.00,true,jumpserver video player,N0257,JumpServer Video Player,1,true,singleton_noise_like,0.00,true
JumpServerClient,N0370,Jumpserverclient,true,singleton_noise_like,jumpserverclient,N0307,JumpServerClient,1,true,singleton_noise_like,0.00,true,jumpserverclient,N0258,JumpServerClient,1,true,singleton_noise_like,0.00,true
K-Lite Codec Pack 11.0.7 Basic,N0371,K Lite Codec Pack Basic,true,singleton_noise_like,k lite codec pack basic,N0308,K-Lite Codec Pack 11.0.7 Basic,1,true,singleton_noise_like,0.00,true,k lite codec pack basic,N0259,K-Lite Codec Pack 11.0.7 Basic,1,true,singleton_noise_like,0.00,true
KDiff3,N0372,Kdiff3,true,singleton_noise_like,kdiff3,N0309,KDiff3,1,true,singleton_noise_like,0.00,true,kdiff3,N0260,KDiff3,1,true,singleton_noise_like,0.00,true
Killer Performance Driver Suite UWD,N0373,Killer Performance Driver Suite Uwd,true,singleton_noise_like,killer performance driver suite uwd,N0310,Killer Performance Driver Suite UWD,1,true,singleton_noise_like,0.00,true,killer performance driver suite uwd,N0261,Killer Performance Driver Suite UWD,1,true,singleton_noise_like,0.00,true
Kimi 智能助手 版本,N0374,kimi 智能助手,true,singleton_noise_like,kimi 智能助手,N0311,Kimi 智能助手 版本,1,true,singleton_noise_like,0.00,true,kimi 智能助手,C0306,Chinese AI Assistant Apps,6,false,human_review_cn_category,0.68,true
Kingdee Cloud Desktop application,N0375,Kingdee Cloud Desktop Application,true,singleton_noise_like,kingdee cloud desktop application,N0312,Kingdee Cloud Desktop application,1,true,singleton_noise_like,0.00,true,kingdee cloud desktop application,N0262,Kingdee Cloud Desktop application,1,true,singleton_noise_like,0.00,true
Kingdee K/3 V13.0Wise Service Pack -PT110783,N0376,Kingdee K Ise Service Pack Pt110783,true,singleton_noise_like,kingdee k 3 .0wise service pack pt110783,C0251,Kingdee K/3,2,false,family_pattern,0.85,true,kingdee k 3 .0wise service pack pt110783,C0251,Kingdee K/3,2,false,v2_preserved,0.85,true
Kingdee K/3 WISE,N0377,Kingdee K Wise,true,singleton_noise_like,kingdee k 3 wise,C0251,Kingdee K/3,2,false,family_pattern,0.85,true,kingdee k 3 wise,C0251,Kingdee K/3,2,false,v2_preserved,0.85,true
Kiwi Syslog Server 9.4.1  (Service Edition),N0378,Kiwi Syslog Server Service,true,singleton_noise_like,kiwi syslog server service edition,C0252,Kiwi Syslog,2,false,family_pattern,0.85,true,kiwi syslog server service edition,C0252,Kiwi Syslog,2,false,v2_preserved,0.85,true
Kiwi Syslog Web Access,N0379,Kiwi Syslog Web Access,true,singleton_noise_like,kiwi syslog web access,C0252,Kiwi Syslog,2,false,family_pattern,0.85,true,kiwi syslog web access,C0252,Kiwi Syslog,2,false,v2_preserved,0.85,true
KMPlayer 64X (remove only),N0380,Kmplayer 64x Remove Only,true,singleton_noise_like,kmplayer 64x remove only,N0313,KMPlayer 64X (remove only),1,true,singleton_noise_like,0.00,true,kmplayer 64x remove only,N0263,KMPlayer 64X (remove only),1,true,singleton_noise_like,0.00,true
Known Issue Rollback Policy Definitions,N0381,Known Issue Rollback Policy Definitions,true,singleton_noise_like,known issue rollback policy definitions,N0314,Known Issue Rollback Policy Definitions,1,true,singleton_noise_like,0.00,true,known issue rollback policy definitions,N0264,Known Issue Rollback Policy Definitions,1,true,singleton_noise_like,0.00,true
Label Artist-II,N0382,Label Artist Ii,true,singleton_noise_like,label artist ii,N0315,Label Artist-II,1,true,singleton_noise_like,0.00,true,label artist ii,N0265,Label Artist-II,1,true,singleton_noise_like,0.00,true
